t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,r_m,E_spec
152.0,6670916.65083273,720587.5878706118,909155.2702504711,-1313.6285199005654,4693.783322417378,5922.080697504005,6771036.75514871,-29392872.13990639
153.0,6669598.743983396,725280.9090509806,915076.767869823,-1322.1843326243284,4692.856028402694,5920.910743629261,6771037.239143926,-29392872.139905043
154.0,6668272.282167482,729973.2999274172,920997.0917377295,-1330.7384475670844,4691.9227151516025,5919.73319536822,6771037.726280914,-29392872.139903672
155.0,6666937.267088261,734664.7544812837,926916.2342605594,-1339.2908537454643,4690.983383865142,5918.548054236217,6771038.216559047,-29392872.139902316
156.0,6665593.700459991,739355.2666951474,932834.1878462019,-1347.841540178307,4690.038035752097,5917.355321758356,6771038.709977698,-29392872.13990094
157.0,6664241.584007905,744044.830552788,938750.944904076,-1356.390495886674,4689.086672028992,5916.154999469511,6771039.2065362325,-29392872.13989956
158.0,6662880.919468217,748733.4400392055,944666.4978451409,-1364.937709893864,4688.129293920093,5914.9470889143195,6771039.706234012,-29392872.139898166
159.0,6661511.708588116,753421.0891406282,950580.8390819047,-1373.483171225426,4687.1659026574025,5913.731591647184,6771040.209070396,-29392872.139896765
160.0,6660133.953125766,758107.7718445203,956493.9610284353,-1382.0268689091752,4686.196499480661,5912.508509232268,6771040.715044739,-29392872.139895357
161.0,6658747.654850298,762793.4821395895,962405.8561003694,-1390.5687919752052,4685.221085637346,5911.277843243493,6771041.22415639,-29392872.13989394
162.0,6657352.815541815,767478.2140157949,968316.5167149223,-1399.1089294559038,4684.239662382666,5910.039595264542,6771041.7364046965,-29392872.13989251
163.0,6655949.436991385,772161.9614643548,974225.9352908984,-1407.647270385966,4683.252230979564,5908.793766888849,6771042.251788999,-29392872.13989108
164.0,6654537.521001042,776844.718477754,980134.1042487001,-1416.183803802409,4682.258792698711,5907.540359719604,6771042.770308638,-29392872.139889643
165.0,6653117.06938378,781526.4790497522,986041.0160103377,-1424.718518744586,4681.2593488185075,5906.279375369747,6771043.291962947,-29392872.13988819
166.0,6651688.0839635525,786207.237175391,991946.6629994396,-1433.2514042541998,4680.253900625083,5905.010815461968,6771043.816751256,-29392872.13988672
167.0,6650250.566575272,790886.9868510023,997851.0376412617,-1441.7824493753185,4679.24244941229,5903.7346816287045,6771044.34467289,-29392872.139885236
168.0,6648804.519064803,795565.7220742155,1003754.1323626972,-1450.311643154388,4678.224996481706,5902.450975512136,6771044.875727172,-29392872.13988377
169.0,6647349.943288963,800243.4368439657,1009655.9395922861,-1458.8389746402474,4677.20154314263,5901.159698764189,6771045.409913422,-29392872.139882267
170.0,6645886.841115521,804920.1251605009,1015556.4517602256,-1467.3644328841422,4676.172090712081,5899.860853046527,6771045.947230949,-29392872.13988078
171.0,6644415.214423194,809595.7810253899,1021455.6612983792,-1475.8880069397387,4675.136640514797,5898.554440030555,6771046.487679067,-29392872.139879286
172.0,6642935.065101641,814270.3984415305,1027353.5606402868,-1484.4096858631387,4674.095193883235,5897.240461397413,6771047.031257083,-29392872.139877766
173.0,6641446.395051467,818943.9714131565,1033250.1422211741,-1492.9294587128932,4673.047752157563,5895.918918837974,6771047.577964297,-29392872.13987623
174.0,6639949.206184215,823616.4939458456,1039145.3984779628,-1501.4473145500162,4671.994316685666,5894.589814052843,6771048.127800005,-29392872.139874723
175.0,6638443.500422367,828287.9600465278,1045039.3218492798,-1509.9632424379995,4670.934888823137,5893.253148752357,6771048.680763505,-29392872.139873177
176.0,6636929.2796993395,832958.363723492,1050931.9047754675,-1518.4772314428265,4669.869469933284,5891.908924656579,6771049.236854086,-29392872.139871616
177.0,6635406.545959482,837627.6989863944,1056823.139698593,-1526.9892706329863,4668.798061387118,5890.557143495295,6771049.796071033,-29392872.139870055
178.0,6633875.301158073,842295.9598462663,1062713.0190624578,-1535.499349079488,4667.720664563359,5889.197807008019,6771050.358413626,-29392872.13986849
179.0,6632335.547261323,846963.1403155212,1068601.5353126086,-1544.0074558558745,4666.637280848431,5887.83091694398,6771050.923881148,-29392872.139866903
180.0,6630787.286246362,851629.2344079631,1074488.6808963455,-1552.5135800382368,4665.547911636461,5886.456475062129,6771051.492472868,-29392872.139865316
181.0,6629230.520101246,856294.236138794,1080374.4482627327,-1561.0177107052284,4664.452558329277,5885.074483131133,6771052.064188059,-29392872.13986371
182.0,6627665.250824952,860958.1395246217,1086258.8298626076,-1569.519836938079,4663.351222336404,5883.684942929372,6771052.639025984,-29392872.139862128
183.0,6626091.48042737,865620.9385834669,1092141.8181485913,-1578.0199478206084,4662.243905075067,5882.287856244936,6771053.216985908,-29392872.139860503
184.0,6624509.210929311,870282.6273347718,1098023.4055750975,-1586.5180324392413,4661.130607970185,5880.883224875627,6771053.798067087,-29392872.139858883
185.0,6622918.444362492,874943.1997994073,1103903.5845983427,-1595.0140798830212,4660.011332454371,5879.471050628952,6771054.382268776,-29392872.139857247
186.0,6621319.182769545,879602.6499996806,1109782.3476763554,-1603.508079243624,4658.886079967929,5878.051335322123,6771054.969590224,-29392872.1398556
187.0,6619711.428204006,884260.9719593432,1115659.6872689868,-1612.0000196153726,4657.754851958854,5876.624080782054,6771055.560030676,-29392872.139853954
188.0,6618095.182730314,888918.1597035982,1121535.5958379195,-1620.4898900952505,4656.617649882826,5875.1892888453585,6771056.153589374,-29392872.139852315
189.0,6616470.448423815,893574.2072591088,1127410.0658466774,-1628.9776797829168,4655.474475203216,5873.746961358347,6771056.750265559,-29392872.13985064
190.0,6614837.227370749,898229.1086540046,1133283.089760636,-1637.4633777807192,4654.325329391074,5872.297100177027,6771057.350058462,-29392872.139848962
191.0,6613195.521668254,902882.8579178909,1139154.6600470315,-1645.9469731937086,4653.170213925135,5870.839707167094,6771057.952967313,-29392872.139847282
192.0,6611545.333424362,907535.449081855,1145024.7691749702,-1654.4284551296532,4652.009130291814,5869.374784203939,6771058.558991338,-29392872.139845595
193.0,6609886.664757996,912186.8761784745,1150893.4096154394,-1662.9078126990528,4650.842079985202,5867.902333172638,6771059.16812976,-29392872.139843896
194.0,6608219.517798965,916837.1332418253,1156760.5738413157,-1671.385035015152,4649.66906450707,5866.42235596795,6771059.780381795,-29392872.139842186
